wall_time,elapsed_ms,timestamp_ms,distance_cm,depth_cm,bpm,count,posture_correct,shoulder_vertical,elbow_hold_ratio,voice_feedback
2026-06-01T14:00:22.117,2703,1282715968,12.9,0.50246178308069,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.153,2735,1282716000,3.6,1.0162121028868658,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.195,2781,1282716046,4.3,1.375837326751189,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.253,2844,1282716109,4.3,4.207574983456215,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.325,2906,1282716171,7.4,6.189791343149734,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.366,2953,1282716218,7.4,7.577342794935197,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.419,3000,1282716265,13.3,7.618628811185021,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.459,3047,1282716312,14.6,7.6475290225598975,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.512,3094,1282716359,13.9,5.897759170522311,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.575,3156,1282716421,14.3,4.492920274096,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.625,3219,1282716484,14.3,3.389533046597583,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.667,3250,1282716515,12.9,2.6171619873486907,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.699,3281,1282716546,4.0,2.1965022458744663,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.734,3313,1282716578,4.0,2.202040426842509,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.785,3375,1282716640,4.3,4.78591715352014,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.836,3422,1282716687,4.9,6.594630862194482,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.873,3453,1282716718,4.9,7.86073045826652,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.902,3485,1282716750,4.9,8.567000175516947,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.933,3516,1282716781,4.9,9.061388977592244,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:22.967,3547,1282716812,13.6,9.407461139044953,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.002,3594,1282716859,13.6,9.64971165206185,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.034,3625,1282716890,14.3,7.209287011173678,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.084,3672,1282716937,15.7,5.500989762551957,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.133,3719,1282716984,15.7,4.095181688516752,56.444026340545626,2,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.166,3750,1282717015,14.6,3.0211160366921095,71.77033492822966,3,True,False,1.0,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.213,3797,1282717062,5.3,2.26927008041486,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.249,3828,1282717093,5.3,1.7429779110207848,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.285,3875,1282717140,5.6,4.0745733924449326,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.316,3906,1282717171,5.6,5.706690229441835,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.349,3922,1282717187,4.3,6.939172015339667,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.373,3953,1282717218,4.3,7.80190926546815,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.417,4000,1282717265,3.6,8.705825340558087,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.452,4031,1282717296,13.9,9.338566593121044,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.485,4078,1282717343,13.9,9.781485469915113,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.517,4110,1282717375,14.6,7.211528683670962,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.549,4141,1282717406,14.6,5.4125589333000566,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.584,4172,1282717437,13.6,4.1532801080404225,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.615,4203,1282717468,13.6,3.271784930358679,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.649,4235,1282717500,13.7,2.714738305981458,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.683,4266,1282717531,13.7,2.3248056689174037,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.716,4297,1282717562,14.0,2.051852822972566,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.753,4344,1282717609,14.0,1.860785830811179,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.788,4375,1282717640,5.2,1.7270389362982084,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.817,4406,1282717671,5.2,1.633416110139129,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.850,4438,1282717703,5.3,4.087880131827774,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.883,4469,1282717734,5.3,5.806004947009825,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.923,4516,1282717781,12.2,7.00869231763726,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.954,4547,1282717812,12.2,7.850573477076465,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:23.982,4563,1282717828,7.5,7.779890288683909,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.023,4610,1282717875,13.6,6.320412056809118,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.063,4656,1282717921,13.6,5.298777294496765,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.100,4688,1282717953,14.3,4.163632960878118,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.133,4719,1282717984,14.3,3.3690319273450653,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.167,4750,1282718015,13.6,2.8128112038719286,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.200,4781,1282718046,13.6,2.423456697440733,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.234,4813,1282718078,13.6,2.150908542938896,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.267,4860,1282718125,13.6,1.9601248347876101,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.303,4891,1282718156,13.9,1.8265762390817102,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.343,4922,1282718187,8.5,1.7330922220875802,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.371,4953,1282718218,8.5,1.6676534101916891,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.403,4985,1282718250,8.4,3.151846241864565,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
2026-06-01T14:00:24.423,5016,1282718281,8.4,4.190781224035579,71.77033492822966,3,True,False,,조금 더 빠르게 압박하세요.
